t,z(t),v(t),F(t) (added)
0.02,1,0,-100
0.04,0.9996,-0.02,-99.96
0.06,0.9988002,-0.039992,-99.88001
0.08,0.9976008,-0.059968,-99.76008
0.09999999,0.9960024,-0.07992001,-99.60023
0.12,0.9940056,-0.09984005,-99.40056
0.14,0.9916112,-0.1197202,-99.16112
0.16,0.9888201,-0.1395524,-98.88201
0.18,0.9856336,-0.1593288,-98.56335
0.2,0.9820527,-0.1790415,-98.20528
0.22,0.9780791,-0.1986825,-97.80791
0.24,0.9737142,-0.2182441,-97.37141
0.26,0.9689598,-0.2377184,-96.89598
0.28,0.9638178,-0.2570976,-96.38178
0.3,0.9582903,-0.2763739,-95.82903
0.32,0.9523795,-0.2955397,-95.23795
0.34,0.9460878,-0.3145873,-94.60878
0.36,0.9394176,-0.3335091,-93.94176
0.38,0.9323717,-0.3522974,-93.23717
0.4,0.9249528,-0.3709449,-92.49528
0.42,0.9171639,-0.3894439,-91.71639
0.4400001,0.9090081,-0.4077872,-90.90082
0.4600001,0.9004888,-0.4259673,-90.04888
0.4800001,0.8916093,-0.4439771,-89.16093
0.5000001,0.8823731,-0.4618093,-88.23731
0.52,0.872784,-0.4794568,-87.2784
0.54,0.8628457,-0.4969124,-86.28457
0.56,0.8525623,-0.5141693,-85.25623
0.58,0.8419379,-0.5312206,-84.19379
0.6,0.8309767,-0.5480593,-83.09767
0.6199999,0.8196831,-0.5646788,-81.96832
0.6399999,0.8080617,-0.5810724,-80.80617
0.6599999,0.796117,-0.5972337,-79.6117
0.6799999,0.7838539,-0.613156,-78.38539
0.6999999,0.7712772,-0.6288331,-77.12772
0.7199998,0.7583921,-0.6442587,-75.83921
0.7399998,0.7452036,-0.6594265,-74.52036
0.7599998,0.7317169,-0.6743306,-73.17169
0.7799998,0.7179376,-0.6889649,-71.79376
0.7999998,0.7038712,-0.7033237,-70.38712
0.8199998,0.6895232,-0.7174011,-68.95232
0.8399997,0.6748993,-0.7311916,-67.48994
0.8599997,0.6600056,-0.7446896,-66.00056
0.8799997,0.6448478,-0.7578897,-64.48477
0.8999997,0.629432,-0.7707866,-62.9432
0.9199997,0.6137645,-0.7833753,-61.37645
0.9399996,0.5978515,-0.7956505,-59.78515
0.9599996,0.5816994,-0.8076076,-58.16994
0.9799996,0.5653145,-0.8192416,-56.53145
0.9999996,0.5487036,-0.8305479,-54.87035
1.02,0.5318731,-0.8415219,-53.18731
1.04,0.5148299,-0.8521594,-51.48299
1.06,0.4975808,-0.862456,-49.75808
1.08,0.4801327,-0.8724076,-48.01327
1.1,0.4624925,-0.8820102,-46.24924
1.12,0.4446673,-0.8912601,-44.46673
1.14,0.4266642,-0.9001535,-42.66642
1.159999,0.4084905,-0.9086868,-40.84905
1.179999,0.3901533,-0.9168566,-39.01534
1.199999,0.3716601,-0.9246597,-37.16602
1.219999,0.3530183,-0.9320928,-35.30183
1.239999,0.3342352,-0.9391532,-33.42352
1.259999,0.3153185,-0.9458379,-31.53185
1.279999,0.2962756,-0.9521443,-29.62756
1.299999,0.2771142,-0.9580698,-27.71142
1.319999,0.2578419,-0.9636121,-25.78419
1.339999,0.2384666,-0.9687689,-23.84666
1.359999,0.2189958,-0.9735382,-21.89958
1.379999,0.1994374,-0.9779181,-19.94374
1.399999,0.1797993,-0.9819069,-17.97993
1.419999,0.1600892,-0.9855029,-16.00892
1.439999,0.1403151,-0.9887047,-14.03151
1.459999,0.1204849,-0.991511,-12.04849
1.479999,0.1006065,-0.9939207,-10.06065
1.499999,0.08068786,-0.9959328,-8.068786
1.519999,0.06073693,-0.9975466,-6.073693
1.539999,0.0407617,-0.9987613,-4.07617
1.559999,0.02077017,-0.9995765,-2.077017
1.579999,0.0007703342,-0.9999919,-0.07703342
1.599999,-0.01922981,-1.000007,1.922981
1.619999,-0.03922226,-0.9996227,3.922226
1.639999,-0.05919903,-0.9988382,5.919903
1.659999,-0.07915211,-0.9976543,7.915212
1.679999,-0.09907354,-0.9960712,9.907353
1.699999,-0.1189553,-0.9940897,11.89553
1.719999,-0.1387895,-0.9917106,13.87895
1.739999,-0.1585682,-0.9889348,15.85682
1.759999,-0.1782835,-0.9857634,17.82835
1.779999,-0.1979274,-0.9821978,19.79274
1.799999,-0.2174922,-0.9782392,21.74922
1.819999,-0.23697,-0.9738894,23.697
1.839999,-0.256353,-0.96915,25.6353
1.859999,-0.2756335,-0.9640229,27.56335
1.879999,-0.2948037,-0.9585103,29.48037
1.899999,-0.313856,-0.9526142,31.3856
1.919999,-0.3327827,-0.946337,33.27827
1.939999,-0.3515763,-0.9396814,35.15763
1.959999,-0.3702293,-0.9326499,37.02293
1.979999,-0.3887343,-0.9252453,38.87342
1.999999,-0.4070837,-0.9174706,40.70837
2.019999,-0.4252702,-0.9093289,42.52702
2.039999,-0.4432867,-0.9008235,44.32867
2.059999,-0.4611259,-0.8919578,46.11259
2.079999,-0.4787806,-0.8827353,47.87806
2.099999,-0.4962438,-0.8731597,49.62438
2.119999,-0.5135085,-0.8632348,51.35085
2.139999,-0.5305678,-0.8529646,53.05678
2.159999,-0.5474148,-0.8423533,54.74149
2.179999,-0.5640429,-0.831405,56.40429
2.199999,-0.5804454,-0.8201241,58.04454
2.219999,-0.5966157,-0.8085153,59.66157
2.239999,-0.6125474,-0.7965829,61.25474
2.259999,-0.628234,-0.784332,62.8234
2.279999,-0.6436694,-0.7717673,64.36694
2.299999,-0.6588473,-0.7588939,65.88473
2.319999,-0.6737616,-0.745717,67.37616
2.339998,-0.6884065,-0.7322417,68.84064
2.359998,-0.702776,-0.7184736,70.2776
2.379998,-0.7168643,-0.7044181,71.68643
2.399998,-0.730666,-0.6900808,73.0666
2.419998,-0.7441753,-0.6754675,74.41753
2.439998,-0.757387,-0.660584,75.7387
2.459998,-0.7702957,-0.6454362,77.02957
2.479998,-0.7828963,-0.6300303,78.28963
2.499998,-0.7951837,-0.6143724,79.51837
2.519998,-0.8071531,-0.5984688,80.71531
2.539998,-0.8187996,-0.5823257,81.87996
2.559998,-0.8301186,-0.5659497,83.01186
2.579998,-0.8411055,-0.5493473,84.11055
2.599998,-0.851756,-0.5325252,85.17561
2.619998,-0.8620659,-0.5154901,86.20659
2.639998,-0.8720309,-0.4982487,87.20309
2.659998,-0.881647,-0.4808081,88.1647
2.679998,-0.8909105,-0.4631752,89.09105
2.699998,-0.8998176,-0.445357,89.98177
2.719998,-0.9083648,-0.4273606,90.83649
2.739998,-0.9165487,-0.4091933,91.65488
2.759998,-0.924366,-0.3908624,92.4366
2.779998,-0.9318135,-0.3723751,93.18135
2.799998,-0.9388883,-0.3537388,93.88882
2.819998,-0.9455875,-0.3349611,94.55875
2.839998,-0.9519085,-0.3160493,95.19085
2.859998,-0.9578487,-0.2970111,95.78487
2.879998,-0.9634057,-0.2778542,96.34058
2.899998,-0.9685774,-0.258586,96.85774
2.919998,-0.9733617,-0.2392145,97.33617
2.939998,-0.9777567,-0.2197473,97.77567
2.959998,-0.9817605,-0.2001921,98.17605
2.979998,-0.9853716,-0.1805569,98.53716
2.999998,-0.9885886,-0.1608495,98.85886
3.019998,-0.9914102,-0.1410777,99.14102
3.039998,-0.9938352,-0.1212495,99.38352
3.059998,-0.9958627,-0.1013728,99.58627
3.079998,-0.9974918,-0.08145557,99.74918
3.099998,-0.9987219,-0.06150574,99.87219
3.119998,-0.9995525,-0.04153131,99.95525
3.139998,-0.9999834,-0.02154026,99.99834
3.159998,-1.000014,-0.001540598,100.0014
3.179998,-0.999645,0.01845968,99.9645
3.199998,-0.9988759,0.03845258,99.88759
3.219998,-0.9977073,0.05843009,99.77073
3.239998,-0.9961396,0.07838424,99.61397
3.259998,-0.9941735,0.09830703,99.41735
3.279998,-0.9918097,0.1181905,99.18097
3.299998,-0.9890492,0.1380267,98.90492
3.319998,-0.9858931,0.1578077,98.58931
3.339998,-0.9823425,0.1775255,98.23425
3.359998,-0.9783991,0.1971724,97.83991
3.379997,-0.9740643,0.2167404,97.40643
3.399997,-0.9693398,0.2362216,96.93398
3.419997,-0.9642277,0.2556084,96.42277
3.439997,-0.9587298,0.274893,95.87298
3.459997,-0.9528484,0.2940676,95.28484
3.479997,-0.946586,0.3131246,94.65859
3.499997,-0.9399448,0.3320563,93.99448
3.519997,-0.9329277,0.3508552,93.29277
3.539997,-0.9255375,0.3695137,92.55375
3.559997,-0.917777,0.3880245,91.7777
3.579997,-0.9096494,0.40638,90.96494
3.599997,-0.9011579,0.424573,90.11579
3.619997,-0.892306,0.4425962,89.2306
3.639997,-0.8830971,0.4604423,88.30971
3.659997,-0.873535,0.4781042,87.3535
3.679997,-0.8636236,0.4955749,86.36236
3.699997,-0.8533666,0.5128474,85.33666
3.719997,-0.8427683,0.5299147,84.27683
3.739997,-0.8318329,0.54677,83.18329
3.759997,-0.8205647,0.5634067,82.05647
3.779997,-0.8089684,0.579818,80.89684
3.799997,-0.7970484,0.5959974,79.70484
3.819997,-0.7848096,0.6119384,78.48096
3.839997,-0.772257,0.6276345,77.2257
3.859997,-0.7593954,0.6430796,75.93954
3.879997,-0.74623,0.6582676,74.623
3.899997,-0.7327662,0.6731921,73.27661
3.919997,-0.7190092,0.6878475,71.90092
3.939997,-0.7049646,0.7022277,70.49646
3.959997,-0.6906381,0.716327,69.06381
3.979997,-0.6760353,0.7301397,67.60353
3.999997,-0.6611621,0.7436604,66.11621
4.019997,-0.6460245,0.7568837,64.60245
4.039997,-0.6306284,0.7698042,63.06284
4.059997,-0.6149801,0.7824168,61.49801
4.079997,-0.5990857,0.7947164,59.90857
4.099997,-0.5829518,0.8066981,58.29518
4.119997,-0.5665846,0.8183571,56.65847
4.139997,-0.5499909,0.8296888,54.99909
4.159997,-0.5331771,0.8406886,53.31771
4.179997,-0.5161501,0.8513522,51.61501
4.199997,-0.4989166,0.8616751,49.89166
4.219997,-0.4814835,0.8716535,48.14835
4.239997,-0.4638579,0.8812832,46.38579
4.259997,-0.4460467,0.8905603,44.60467
4.279997,-0.428057,0.8994812,42.80571
4.299997,-0.4098962,0.9080424,40.98962
4.319997,-0.3915714,0.9162403,39.15714
4.339997,-0.37309,0.9240717,37.309
4.359997,-0.3544593,0.9315335,35.44593
4.379997,-0.3356868,0.9386227,33.56868
4.399997,-0.3167801,0.9453365,31.67801
4.419997,-0.2977467,0.9516721,29.77467
4.439997,-0.2785941,0.957627,27.85941
4.459997,-0.2593301,0.9631989,25.93301
4.479997,-0.2399624,0.9683855,23.99624
4.499997,-0.2204987,0.9731848,22.04987
4.519997,-0.2009468,0.9775947,20.09468
4.539997,-0.1813145,0.9816137,18.13145
4.559997,-0.1616097,0.98524,16.16097
4.579997,-0.1418403,0.9884722,14.18403
4.599997,-0.1220141,0.991309,12.20141
4.619997,-0.1021391,0.9937493,10.21391
4.639997,-0.08222329,0.995792,8.222329
4.659997,-0.06227456,0.9974365,6.227456
4.679996,-0.04230092,0.998682,4.230092
4.699996,-0.02231036,0.9995281,2.231036
4.719996,-0.002310876,0.9999743,0.2310876
4.739996,0.01768953,1.000021,-1.768953
4.759996,0.03768287,0.9996667,-3.768287
4.779996,0.05766113,0.998913,-5.766113
4.799996,0.07761633,0.9977598,-7.761632
4.819996,0.09754048,0.9962075,-9.754047
4.839996,0.1174256,0.9942567,-11.74256
4.859996,0.1372638,0.9919082,-13.72638
4.879996,0.157047,0.9891629,-15.7047
4.899996,0.1767675,0.986022,-17.67675
4.919996,0.1964172,0.9824867,-19.64172
4.939996,0.2159884,0.9785583,-21.59884
4.959996,0.2354731,0.9742385,-23.54731
4.979996,0.2548637,0.969529,-25.48637
4.999996,0.2741523,0.9644318,-27.41523
5.019996,0.2933313,0.9589487,-29.33313
5.039996,0.312393,0.9530821,-31.2393
5.059996,0.3313297,0.9468342,-33.13297
5.079996,0.3501338,0.9402076,-35.01338
5.099996,0.3687979,0.9332049,-36.87979
5.119996,0.3873145,0.925829,-38.73145
5.139996,0.4056762,0.9180827,-40.56762
5.159996,0.4238755,0.9099692,-42.38755
5.179996,0.4419054,0.9014917,-44.19054
5.199996,0.4597585,0.8926536,-45.97585
5.219996,0.4774276,0.8834584,-47.74276
5.239996,0.4949058,0.8739099,-49.49058
5.259996,0.5121861,0.8640118,-51.21861
5.279996,0.5292614,0.8537681,-52.92614
5.299996,0.5461251,0.8431828,-54.61251
5.319996,0.5627702,0.8322603,-56.27702
5.339996,0.5791904,0.8210049,-57.91904
5.359996,0.5953788,0.8094211,-59.53788
5.379996,0.6113291,0.7975135,-61.13291
5.399996,0.6270348,0.785287,-62.70348
5.419996,0.6424898,0.7727463,-64.24898
5.439996,0.6576877,0.7598965,-65.76878
5.459996,0.6726226,0.7467427,-67.26225
5.479996,0.6872883,0.7332903,-68.72884
5.499996,0.7016792,0.7195445,-70.16792
5.519996,0.7157894,0.7055109,-71.57894
5.539996,0.7296134,0.6911951,-72.96133
5.559996,0.7431454,0.6766028,-74.31454
5.579996,0.7563802,0.6617399,-75.63802
5.599996,0.7693124,0.6466123,-76.93124
5.619996,0.7819369,0.6312261,-78.1937
5.639996,0.7942487,0.6155874,-79.42487
5.659996,0.8062428,0.5997024,-80.62428
5.679996,0.8179143,0.5835775,-81.79143
5.699996,0.8292587,0.5672193,-82.92587
5.719995,0.8402714,0.5506341,-84.02714
